tta_0,d_0,a_1,a_2,is_gap_accepted,RT_go,RT_stay,subj_id
5.5,90.0,-4.0,0.0,0.7781224216432092,0.824000379523057,2.4158330003011605,all
5.5,90.0,-4.0,4.0,0.762021542667302,0.7976751588472505,2.284189077113959,all
5.5,90.0,0.0,-4.0,0.6948861896203624,0.796012735250372,2.2264993307256447,all
5.5,90.0,0.0,0.0,0.6807425164319173,0.7704432461869362,2.10884339213825,all
5.5,90.0,0.0,4.0,0.6731481554550165,0.7578631769533279,2.0369007678616193,all
5.5,90.0,4.0,-4.0,0.6157235292611022,0.7391974300690315,1.9521384846554821,all
5.5,90.0,4.0,0.0,0.6104645346678154,0.729789875721098,1.8974650071423036,all
5.5,90.0,4.0,4.0,0.6068883409764971,0.7237440882948089,1.858732073108673,all
5.75,70.0,-4.0,-4.0,0.6695230395373821,1.5423925138799028,1.2703503462478023,all
5.75,70.0,-4.0,0.0,0.4304532225002238,1.031818546621982,1.8891313352559165,all
5.75,70.0,-4.0,4.0,0.39796531972463683,0.9476913747983495,1.7722548475603626,all
5.75,70.0,0.0,-4.0,0.2637441426325877,0.8588601767850603,1.5901809037751906,all
5.75,70.0,0.0,0.0,0.2534847762992792,0.8131104566270552,1.5213128867578862,all
5.75,70.0,0.0,4.0,0.24967740945292505,0.7981644099725155,1.4894540738849953,all
5.75,70.0,4.0,-4.0,0.1976671914782622,0.73852676695172,1.3740061325329984,all
5.75,70.0,4.0,0.0,0.19632059976392713,0.7317582335316472,1.356102849251258,all
